Secao,Titulo,Descrição,Data
economia,Bolívia: Congresso avalia projeto de lei para ampliar reservas de moeda estrangeira,"A Assembleia Legislativa boliviana, controlada pelo partido governista, iniciou nesta sexta-feira, 21, a tramitação de um projeto de lei que busca fortalecer as reservas internacionais após a queda das receitas. No início da sessão, houve disputas entre deputados governistas e opositores sobre o tratamento dado à iniciativa promovida pelo governo do presidente esquerdista Luis Arce. […]",21/04/2023 15:32
economia,Ex-presidente do Peru Toledo se rende às autoridades dos EUA,"(Reuters) – O ex-presidente peruano Alejandro Toledo se entregou às autoridades dos Estados Unidos nesta sexta-feira, disse um representante do US Marshals Service à Reuters, um dia depois que sua tentativa de bloquear sua extradição para o Peru por acusações de corrupção foi negada. Toledo, que foi presidente de 2001 a 2006, é procurado no […]",21/04/2023 15:08
economia,Coteminas anuncia parceria com a Shein para produção no Brasil,A Companhia de Tecidos Norte de Minas (Coteminas) anunciou a assinatura de um memorando de entendimentos com a Shein. O memorando prevê que 2 mil dos clientes confeccionistas da empresa passem a ser fornecedores da Shein para atender os mercados doméstico e da América Latina. A parceria também abrange o financiamento para capital de trabalho […],21/04/2023 15:08
economia,IFF/Brooks: Real está depreciado considerando superávit crescente sustentado pela agricultura,"O economista-chefe do Instituto de Finanças Internacionais (IIF, na sigla em inglês), Robin Brooks, reiterou nesta sexta-feira, 21, em seu perfil no Twitter que o real brasileiro está desvalorizado ante o dólar, tendo em vista que o superávit comercial do Brasil vem subindo sustentado por exportações de produtos agrícolas. “O superávit comercial do Brasil vem […]",21/04/2023 14:29
economia,Vice-primeiro-ministro britânico renuncia por conta de inquérito sobre bullying,"Por Andrew MacAskill e Alistair Smout e Sachin Ravikumar LONDRES (Reuters) – O vice-primeiro-ministro britânico Dominic Raab renunciou nesta sexta-feira depois que um relatório independente concluiu que ele havia intimidado autoridades, o mais recente escândalo a forçar a saída de um dos principais membros do gabinete do primeiro-ministro Rishi Sunak. A perda de um terceiro […]",21/04/2023 14:01
economia,"Twitter retira rótulo de “financiado pelo governo” de contas de mídia, inclusive da China","(Reuters) – O Twitter retirou os rótulos de “financiado pelo governo” e “afiliado do Estado da China”, que designavam envolvimento do governo no conteúdo editorial, das contas de várias organizações globais de mídia, mostraram seus perfis nesta sexta-feira. O Twitter retirou o rótulo “Mídia financiada pelo governo” das contas da National Public Radio (NPR), dos […]",21/04/2023 13:53
economia,Canadá promete quase US$ 10 bilhões à Volkswagen para fábrica de baterias elétricas,"O governo canadense concederá subsídios de até 13,2 bilhões de dólares canadenses (9,8 bilhões de dólares americanos, 49,4 bilhões de reais na cotação atual) ao longo de dez anos à montadora alemã Volkswagen para a construção de sua primeira fábrica de baterias elétricas fora da Europa, no Canadá. “O investimento dependerá da quantidade de baterias […]",21/04/2023 13:44
economia,"BCE: é preciso cautela e definir juros a cada reunião, com base em novos dados, afirma Visco","Dirigente do Banco Central Europeu (BCE), Ignazio Visco disse nesta sexta-feira, dia 21, que o banco precisa ser cauteloso na definição de sua política monetária e tomar decisões a cada reunião. Em entrevista à Bloomberg TV, Visco, que também é presidente do BC italiano, afirmou que o BCE irá manter a postura de decidir sobre […]",21/04/2023 13:06
economia,Chile anuncia plano para nacionalizar produção de lítio,"O presidente do Chile, Gabriel Boric, anunciou um plano nesta quinta-feira, 20, para exigir que empresas privadas aceitem o governo do Chile como parceiro na extração de lítio, que tem alta demanda em todo o mundo para uso em baterias elétricas. Boric afirmou que o Estado participará de todo o ciclo de produção de lítio […]",21/04/2023 12:48
economia,"Rússia atenta a novas sanções ocidentais, e diz que elas atingiriam a economia mundial","(Reuters) – O Kremlin disse nesta sexta-feira que está monitorando relatos de uma possível proibição de exportações para a Rússia por países ocidentais, e que novas sanções prejudicariam a economia global. “Estamos monitorando cuidadosamente isso, estamos cientes de que tanto os EUA quanto a UE estão considerando ativamente novas sanções”, disse o porta-voz do Kremlin, […]",21/04/2023 11:59
economia,"Capital do Sudão tem novos conflitos armados em feriado muçulmano, exército avança a pé","Por Khalid Abdelaziz Nafisa Eltahir CARTUM (Reuters) – Tiroteios atingiram bairros residenciais da capital do Sudão, Cartum, no início do feriado muçulmano de Eid al Fitr nesta sexta-feira, depois que o exército se posicionou a pé pela primeira vez em sua luta de quase uma semana contra uma  força paramilitar. Soldados e homens armados das […]",21/04/2023 11:51
economia,Alemanha anuncia acordo para consertar tanques para a Ucrânia em hub na Polônia,"(Reuters) – Alemanha, Polônia e Ucrânia assinaram um acordo nesta sexta-feira para criar um centro de reparos de tanques Leopard usados na Ucrânia para combater forças russas, disse o ministro da Defesa da Alemanha, Boris Pistorius, em uma reunião de aliados na base aérea de Ramstein. Todas as partes concordaram em como financiar tal hub, […]",21/04/2023 11:50
